director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Roshan Abbas,Ali Fazal,Giselli Monteiro,Zoa Morani,Romance/Teen,always kabhi kabhi,Ali Fazal Giselli Monteiro Zoa Morani Roshan Abbas Romance/Teen
Ankush Bhatt,Kay Kay Menon,Piyush Mishra,Deepti Naval,Thriller,bhindi baazaar inc.,Kay Kay Menon Piyush Mishra Deepti Naval Ankush Bhatt Thriller
Chandrakant Singh,Rati Agnihotri,Gulshan Grover,Manoj Joshi,Crime,bin bulaye baraati,Rati Agnihotri Gulshan Grover Manoj Joshi Chandrakant Singh Crime
Indra Kumar,Sanjay Dutt,Arshad Warsi,Javed Jaffrey,Comedy,double dhamaal,Sanjay Dutt Arshad Warsi Javed Jaffrey Indra Kumar Comedy
Puri Jagannadh,Amitabh Bachchan,Charmy Kaur,Hema Malini,Action,bbuddah... hoga terra baap,Amitabh Bachchan Charmy Kaur Hema Malini Puri Jagannadh Action
Abhinay Deo,Imran Khan,Shenaz Treasurywala,Poorna Jagannathan,Action/Comedy,delhi belly,Imran Khan Shenaz Treasurywala Poorna Jagannathan Abhinay Deo Action/Comedy
Mohit Suri,Emraan Hashmi,Jacqueline Fernandez,Prashant Narayanan,Psychological thriller,murder 2,Emraan Hashmi Jacqueline Fernandez Prashant Narayanan Mohit Suri Psychological thriller
"Vikas Bahl, Nitesh Tiwari",Irrfan Khan,Sanath Menon,Rohan Grover,Children,chillar party,"Irrfan Khan Sanath Menon Rohan Grover Vikas Bahl, Nitesh Tiwari Children"
Zoya Akhtar,Hrithik Roshan,Katrina Kaif,Naseeruddin Shah,Romance/Road,zindagi na milegi dobara,Hrithik Roshan Katrina Kaif Naseeruddin Shah Zoya Akhtar Romance/Road
Rohit Shetty,Ajay Devgn,Kajal Aggarwal,Prakash Raj,Action,singham,Ajay Devgn Kajal Aggarwal Prakash Raj Rohit Shetty Action
Ajai Sinha,Om Puri,Govind Namdeo,Manoj Pahwa,Social,khap,Om Puri Govind Namdeo Manoj Pahwa Ajai Sinha Social
Rakesh Ranjan Kumar,Neha Dhupia,Raghubir Yadav,unknown,Biographical,gandhi to hitler,Neha Dhupia Raghubir Yadav unknown Rakesh Ranjan Kumar Biographical
Sanjivan Lal,Sohail Lakhani,Apoorva Arora,Sachin Khedekar,Drama,bubble gum,Sohail Lakhani Apoorva Arora Sachin Khedekar Sanjivan Lal Drama
Rajiv Mehra,Pankaj Kapoor,Deven Bhojani,Manoj Pahwa,Comedy/Social,chala mussaddi... office office,Pankaj Kapoor Deven Bhojani Manoj Pahwa Rajiv Mehra Comedy/Social
Nila Madhab Panda,Harsh Mayar,Gulshan Grover,unknown,Drama,i am kalam,Harsh Mayar Gulshan Grover unknown Nila Madhab Panda Drama
Ramesh Modi,Gracy Singh,Aslam Khan,Vishal Kaushik,Comedy/Romance,milta hai chance by chance,Gracy Singh Aslam Khan Vishal Kaushik Ramesh Modi Comedy/Romance
